sample_id,lay_id,country,lay.type,lay.depth.to.top,lay.depth.to.bottom,horizon.designation,texture.description,fiscal.year,submit.proj.name,taxonomic.classification.name,county.lat.ycntr,county.long.xcntr,fips.code,area.id_country,area.id_county,area.name_country,area.name_county,area.code_country,area.code_county,latitude,longitude,total_carbon,organic_carbon,nitrogen_total,ph_h2o,sand_tot_psa
40725,8240,United States,horizon,20,32,Bt1,Silty clay loam,2002,CHARACTERIZATION  -  2001-  ND,"Fine, smectitic, frigid Typic Natraquert",46.28329,-96.917615,38077,244,6097,United States,Richland,US,ND077,46.2529984,-96.6480484,2.60876,1.0368,0.10611,7.9,4.1
40747,8262,United States,horizon,0,5,A,Loam,2002,CHARACTERIZATION  -  2001-  ND,"Fine, kaolinitic, semiactive, frigid Typic Argiustoll",46.820185,-102.663915,38089,244,6103,United States,Stark,US,ND089,46.753643,-103.0295029,2.31041,2.31,0.20245,6.38,58.6
40774,8290,United States,horizon,18,34,Btnk,Silty clay,2002,CHARACTERIZATION  -  2001-  ND,"Fine, smectitic, frigid Leptic Vertic Natrustoll",46.820185,-102.663915,38089,244,6103,United States,Stark,US,ND089,46.7083056,-103.1885278,1.28832,1.23,0.14861,8.43,20.1
41098,8458,United States,horizon,140,198,C2,Loamy fine sand,2002,"CARLTON, PINE & ST. LOUIS  Counties","Mixed, frigid Aquic Udipsamment",47.63849,-92.4428,27137,244,5682,United States,St. Louis,US,MN137,47.2836113,-92.898613,0.04212,0.04,0.02307,5.77,94.5
41101,8461,United States,horizon,8,15,Bw1,Loamy fine sand,2002,"CARLTON, PINE & ST. LOUIS  Counties","Mixed, frigid Aquic Udipsamment",47.63849,-92.4428,27137,244,5682,United States,St. Louis,US,MN137,47.2822227,-92.882225,1.11245,1.11,0.06574,4.44,87.9
41316,8644,United States,horizon,89,160,C2,,2002,LINN Co.  -   EPA   I,"Medial, amorphic, mesic Typic Hapludand",44.496465,-122.526805,41043,244,6534,United States,Linn,US,OR043,44.39622029,-122.2526071,0.50721,0.51,0.03446,5.76,41.6
41325,8653,United States,horizon,33,104,BC1,Extremely gravelly Sandy loam,2002,LINN Co.  -   EPA   I,"Medial-skeletal, amorphic, frigid Typic Hapludand",44.496465,-122.526805,41043,244,6534,United States,Linn,US,OR043,44.28682204,-122.3580081,4.86215,4.86,0.16077,5.49,57.9
41340,8668,United States,horizon,56,89,Bw1,Very gravelly Loam,2002,LINN Co.  -   EPA   I,"Medial-skeletal, amorphic Typic Haplocryand",44.496465,-122.526805,41043,244,6534,United States,Linn,US,OR043,44.32742256,-122.2598005,1.93861,1.94,0.10336,5.73,69.3
41381,8717,United States,horizon,84,122,4Cb1,Loamy fine sand,2002,"LANE, COOS, & CURRY Co.   -    EPA  II","Coarse-loamy, isotic, isomesic Typic Haplorthod",42.475565,-124.16149,41015,244,6520,United States,Curry,US,OR015,42.15795275,-124.3648361,0.37974,0.38,0.02532,5.87,92.8
42247,9292,United States,horizon,0,14,Ap,Loam,2002,HARVEY CO.,"Fine, mixed, superactive, mesic Typic Natrustoll",38.043425,-97.42746,20079,244,5194,United States,Harvey,US,KS079,38.0410385,-97.6316528,1.3504,1.35,0.18718,5.54,43.0
42270,9318,United States,horizon,33,56,Btkn1,Silty clay loam,2002,HARVEY CO.,"Fine, mixed, superactive, mesic Leptic Vertic Natrustoll",38.043425,-97.42746,20079,244,5194,United States,Harvey,US,KS079,37.9900055,-97.649025,0.85835,0.4772,0.06796,8.16,25.2
46565,11757,United States,horizon,11,28,A2,Cobbly Silt loam,2002,WILLAMETTE VALLEY,"Clayey-skeletal, mixed, active, mesic Typic Dystroxerept",45.254455,-123.31727,41071,244,6548,United States,Yamhill,US,OR071,45.39764837,-123.0748938,2.8341,2.83,0.2008,5.95,24.2
47447,12175,United States,horizon,83,100,Btknyz1,Silty clay loam,2003,RICE CO..,"Fine-loamy, mixed, superactive, mesic Leptic Natrustoll",38.340745,-98.2015,20159,244,5234,United States,Rice,US,KS159,38.3298492,-98.2916718,0.65631,0.6108,0.05222,8.04,10.3
47455,12183,United States,horizon,53,93,Btknz2,Loam,2003,RICE CO..,"Fine-loamy, mixed, superactive, mesic Leptic Natrustoll",38.340745,-98.2015,20159,244,5234,United States,Rice,US,KS159,38.1848068,-98.2611313,2.14876,0.1256,0.01215,9.52,37.8
47961,12642,United States,horizon,12,27,Bt,Very cobbly Loam,2003,SHASTA-TRINITY NATIONAL FOREST,"Loamy-skeletal, magnesic, mesic Lithic Mollic Haploxeralf",40.672575,-123.034605,6105,244,4501,United States,Trinity,US,CA105,40.5652771,-123.2549973,1.64724,1.65,0.06289,7.04,66.4
48653,13010,United States,horizon,61,75,BC,Loam,2003,DEVILS LAKE,"Fine-loamy, mixed, superactive, frigid Typic Calciaquoll",48.108755,-99.186845,38005,244,6061,United States,Benson,US,ND005,48.2378044,-99.3573303,1.52235,0.1856,0.02532,7.8,41.1
48654,13011,United States,horizon,75,122,C,Loam,2003,DEVILS LAKE,"Fine-loamy, mixed, superactive, frigid Typic Calciaquoll",48.108755,-99.186845,38005,244,6061,United States,Benson,US,ND005,48.2378044,-99.3573303,1.35911,0.178,0.0375,7.85,38.0
48958,13169,United States,horizon,32,50,C1,Silt loam,2003,KANSAS RIVER,"Coarse-silty over sandy or sandy-skeletal, mixed, superactive, mesic Fluventic Hapludoll",39.226205,-95.388925,20087,244,5198,United States,Jefferson,US,KS087,39.0684433,-95.5844421,0.1644,0.16,0.04841,6.47,22.3
48963,13174,United States,horizon,0,15,Ap1,Silt loam,2003,KANSAS RIVER,"Fine-silty, mixed, superactive, mesic Fluventic Hapludoll",39.226205,-95.388925,20087,244,5198,United States,Jefferson,US,KS087,39.0669479,-95.3824692,1.29995,1.3,0.1306,7.2,23.1
50354,13858,United States,horizon,51,81,2Bt3,Gravelly Loamy sand,2003,Michigan samples,"Clayey over loamy, mixed, active, frigid Aquic Hapludalf",46.682095,-89.376195,26131,244,5596,United States,Ontonagon,US,MI131,46.49087604,-89.06429435,0.03219,0.03,0.02716,6.36,82.4
50359,13866,United States,horizon,33,43,Bs1,Loamy fine sand,2003,Michigan samples,"Coarse-loamy, mixed, frigid Argic Endoaquod",46.682095,-89.376195,26131,244,5596,United States,Ontonagon,US,MI131,46.93499885,-89.18266177,1.65872,1.66,0.06469,4.55,84.3
50369,13874,United States,horizon,127,155,Btx,Bouldery Fine sandy loam,2003,Michigan samples,"Loamy-skeletal, mixed, frigid Fragic Haplorthod",46.682095,-89.376195,26131,244,5596,United States,Ontonagon,US,MI131,46.69664678,-89.8349222,0.26006,0.26,0.04318,5.35,53.1
50389,13893,United States,horizon,112,142,BCd,Silt loam,2003,Michigan samples,"Fine-loamy, mixed, superactive, frigid Haplic Glossudalf",46.682095,-89.376195,26131,244,5596,United States,Ontonagon,US,MI131,46.81440059,-89.4255904,0.41123,0.032,0.03738,8.26,28.5
50404,13911,United States,horizon,10,20,C2,Silt loam,2003,Michigan samples,"Coarse-loamy, mixed, nonacid, frigid Typic Udifluvent",46.682095,-89.376195,26131,244,5596,United States,Ontonagon,US,MI131,46.8219388,-88.96902309,3.13597,3.14,0.25198,4.1,27.6
50444,13951,United States,horizon,3,15,A,Gravelly Fine sandy loam,2003,Michigan samples,"Coarse-loamy, mixed, active, frigid Entic Haplorthod",46.424555,-86.49035,26003,244,5532,United States,Alger,US,MI003,46.39193855,-87.04082898,2.82056,2.82,0.28226,4.96,58.7
51322,14523,United States,horizon,112,133,C3,Stratified Loamy sand,2003,WILLAMETTE  VALLEY,"Coarse-loamy, mixed, superactive, mesic Fluvaquentic Haploxeroll",44.984465,-122.457025,41047,244,6536,United States,Marion,US,OR047,45.04626355,-123.0207085,0.22979,0.23,0.03268,7.05,64.5
51852,14929,United States,horizon,10,18,Ap2,Silty clay loam,2003,"Nemaha County, KS","Fine, smectitic, mesic Oxyaquic Vertic Argiudoll",39.783355,-96.013955,20131,244,5220,United States,Nemaha,US,KS131,39.9316521,-95.8501968,1.88768,1.8612,0.21899,6.27,1.5
55504,17432,United States,horizon,130,150,Bt5,Sandy clay loam,2003,HUMBOLDT CO.,"Fine-loamy, superactive, thermic Ultic Palexeralf",40.73355,-123.910525,6023,244,4460,United States,Humboldt,US,CA023,40.0975,-123.7188889,0.25445,0.25,0.03664,6.05,53.9
56771,18452,United States,horizon,48,89,Bt1,Silty clay loam,2003,VINEYARD,"Fine, mixed, active, mesic Xeric Palehumult",45.173285,-122.25986,41005,244,6515,United States,Clackamas,US,OR005,45.31154175,-122.8657108,0.38497,0.38,0.06745,5.44,9.9
56783,18376,United States,horizon,33,56,Bt1,Silty clay loam,2003,VINEYARD,"Fine, mixed, superactive, mesic Humic Dystroxerept",45.254455,-123.31727,41071,244,6548,United States,Yamhill,US,OR071,45.36848168,-123.0396138,0.92311,0.92,0.11938,6.05,10.7
56801,18394,United States,horizon,15,30,A,Silt loam,2003,VINEYARD,"Fine, mixed, superactive, mesic Humic Dystroxerept",45.254455,-123.31727,41071,244,6548,United States,Yamhill,US,OR071,45.28709575,-123.011001,1.3307,1.33,0.15014,5.685,11.7
56805,18398,United States,horizon,112,132,BCt,Extremely paragravelly Silty clay loam,2003,VINEYARD,"Fine, mixed, superactive, mesic Humic Dystroxerept",45.254455,-123.31727,41071,244,6548,United States,Yamhill,US,OR071,45.28709575,-123.011001,0.30183,0.3,0.08699,5.875,25.9
57286,18670,United States,horizon,13,36,Btk,Loam,2003,Big Hole Valley,"Fine-loamy, carbonatic Ustic Argicryoll",45.149805,-112.70073,30001,244,5902,United States,Beaverhead,US,MT001,45.1455574,-112.8874969,4.07511,1.0716,0.08644,7.98,58.2
57574,18765,United States,horizon,42,56,Ek,Fine sandy loam,2004,MLRA 79 - Sodic Soils,"Fine-loamy, mixed, superactive, mesic Aquic Natrustoll",38.478915,-98.756585,20009,244,5159,United States,Barton,US,KS009,38.3041115,-98.4985809,1.7864,0.59,0.09593,7.94,63.7
59127,19471,United States,horizon,137,170,C2,Loam,2004,Meeker & Nicollet Co.s,"Fine-loamy, mixed, superactive, mesic Typic Eutrudept",45.10926,-94.509665,27093,244,5660,United States,Meeker,US,MN093,44.9889755,-94.3569794,2.11257,0.0796,0.04863,8.08,49.7
60460,19936,United States,horizon,21,30,Bw1,Sandy loam,2004,Interior  Ak,"Coarse-loamy, mixed, active Typic Dystrocryept",64.85606,-146.27598,2090,244,4268,United States,Fairbanks North Star Borough,US,AK090,65.0998306,-147.8510742,0.66184,0.66,0.09412,4.52,35.5
60465,19952,United States,horizon,11,17,E,Very fine sandy loam,2004,Interior  Ak,"Clayey over loamy, mixed, active Aquic Dystrocryept",63.87055,-144.00265,2240,244,4282,United States,Southeast Fairbanks Census Area,US,AK240,64.2783661,-146.2699432,4.65907,4.66,0.18706,5.75,14.7
60478,19965,United States,horizon,13,21,A,Sandy loam,2004,Interior  Ak,"Ashy, superactive Typic Vitricryand",63.87055,-144.00265,2240,244,4282,United States,Southeast Fairbanks Census Area,US,AK240,63.0603981,-141.8302155,4.92107,4.92,0.22743,4.66,17.6
60483,19970,United States,horizon,6,15,A,Silt,2004,Interior  Ak,"Ashy, active Typic Vitricryand",63.87055,-144.00265,2240,244,4282,United States,Southeast Fairbanks Census Area,US,AK240,63.0559349,-141.8266602,1.63788,1.64,0.0549,5.42,22.8
60484,19971,United States,horizon,15,28,E,Silt,2004,Interior  Ak,"Ashy, active Typic Vitricryand",63.87055,-144.00265,2240,244,4282,United States,Southeast Fairbanks Census Area,US,AK240,63.0559349,-141.8266602,0.78353,0.78,0.06191,5.56,22.1
60488,19975,United States,horizon,18,30,AB,Silt loam,2004,Interior  Ak,"Fine-silty, mixed, active Andic Dystrocryept",63.87055,-144.00265,2240,244,4282,United States,Southeast Fairbanks Census Area,US,AK240,63.3131676,-142.673584,3.04191,3.04,0.13025,5.91,12.8
60495,19982,United States,horizon,10,20,A,Loam,2004,Interior  Ak,"Coarse-silty over sandy or sandy-skeletal, mixed, active Andic Dystrocryept",63.87055,-144.00265,2240,244,4282,United States,Southeast Fairbanks Census Area,US,AK240,63.3563499,-142.9834595,1.13501,1.14,0.07478,5.96,36.2
60502,19989,United States,horizon,9,20,Bw1,Loam,2004,Interior  Ak,"Coarse-silty over sandy or sandy-skeletal, mixed, active Andic Dystrocryept",63.87055,-144.00265,2240,244,4282,United States,Southeast Fairbanks Census Area,US,AK240,63.2594681,-143.0053711,0.96928,0.97,0.05521,5.93,32.1
60507,19994,United States,horizon,21,28,A,Silt loam,2004,Interior  Ak,"Coarse-silty, mixed, superactive, subgelic Typic Historthel",63.87055,-144.00265,2240,244,4282,United States,Southeast Fairbanks Census Area,US,AK240,63.7222519,-144.6628723,6.00467,6.0,0.24278,5.64,28.0
60633,20000,United States,horizon,10,12,E,Fine sandy loam,2004,Interior  Ak,"Coarse-loamy over sandy or sandy-skeletal, mixed, active Typic Haplocryod",66.868445,-159.74794,2188,244,4278,United States,Northwest Arctic Borough,US,AK188,67.3232193,-155.1479797,4.58323,4.58,0.21465,4.4,65.6
60634,20001,United States,horizon,12,16,Bs,Sand,2004,Interior  Ak,"Coarse-loamy over sandy or sandy-skeletal, mixed, active Typic Haplocryod",66.868445,-159.74794,2188,244,4278,United States,Northwest Arctic Borough,US,AK188,67.3232193,-155.1479797,1.01047,1.01,0.10206,4.7,71.5
60635,20002,United States,horizon,16,20,Bw,Loamy sand,2004,Interior  Ak,"Coarse-loamy over sandy or sandy-skeletal, mixed, active Typic Haplocryod",66.868445,-159.74794,2188,244,4278,United States,Northwest Arctic Borough,US,AK188,67.3232193,-155.1479797,0.57746,0.58,0.06137,5.13,62.7
60636,20003,United States,horizon,20,29,Bg,Sandy loam,2004,Interior  Ak,"Coarse-loamy over sandy or sandy-skeletal, mixed, active Typic Haplocryod",66.868445,-159.74794,2188,244,4278,United States,Northwest Arctic Borough,US,AK188,67.3232193,-155.1479797,1.66051,1.66,0.11969,4.91,34.1
60663,20016,United States,horizon,20,30,Bg1,,2004,Interior Ak,,69.694275,-153.92665,2185,244,4277,United States,North Slope Borough,US,AK185,69.694275,-153.92665,4.09058,4.09,0.12922,4.56,44.8
60673,20026,United States,horizon,18,23,Bw,,2004,Interior Ak,"Coarse-loamy, mixed, superactive, hypergelic Ruptic-Histic Aquiturbel",69.694275,-153.92665,2185,244,4277,United States,North Slope Borough,US,AK185,69.4119186,-148.7253876,3.32733,3.33,0.22277,5.47,14.3
60686,20039,United States,horizon,0,4,A,Silt loam,2004,Interior Ak,"Coarse-loamy, mixed, hypergelic Typic Haploturbel",69.694275,-153.92665,2185,244,4277,United States,North Slope Borough,US,AK185,70.3151169,-147.9946594,3.02024,0.6956,0.10189,7.6,28.6
60687,20042,United States,horizon,0,10,A2,Sandy loam,2004,Interior Ak,"Coarse-loamy, mixed, hypergelic Typic Haploturbel",69.694275,-153.92665,2185,244,4277,United States,North Slope Borough,US,AK185,70.3151169,-147.9946594,7.54114,4.6984,0.26287,7.61,52.2
60695,20050,United States,horizon,2,18,Oe,Peat,2004,Interior Ak,"Coarse-loamy, mixed, superactive, hypergelic Typic Historthel",69.694275,-153.92665,2185,244,4277,United States,North Slope Borough,US,AK185,69.9841003,-148.6919861,9.23053,6.59,0.2667,7.62,47.4
60696,20051,United States,horizon,18,30,Bg1,Sandy loam,2004,Interior Ak,"Coarse-loamy, mixed, superactive, hypergelic Typic Historthel",69.694275,-153.92665,2185,244,4277,United States,North Slope Borough,US,AK185,69.9841003,-148.6919861,6.35572,3.5484,0.21589,8.0,49.5
60784,20080,United States,horizon,14,19,A,Silt loam,2004,Interior Ak,"Coarse-silty, mixed, active Typic Dystrocryept",64.85606,-146.27598,2090,244,4268,United States,Fairbanks North Star Borough,US,AK090,64.7698364,-148.2648163,5.47203,5.47,0.26466,5.59,6.0
60860,20099,United States,horizon,0,10,A,Silt loam,2004,Ridgway SSA,"Fine-loamy, gypsic, active, mesic Typic Haplogypsid",38.410365,-108.28014,8085,244,4549,United States,Montrose,US,CO085,38.61327607,-107.9734443,5.97331,3.1128,0.33709,7.6,15.1
60861,20100,United States,horizon,10,23,Bw,Silty clay loam,2004,Ridgway SSA,"Fine-loamy, gypsic, active, mesic Typic Haplogypsid",38.410365,-108.28014,8085,244,4549,United States,Montrose,US,CO085,38.61327607,-107.9734443,4.52797,1.6392,0.16782,7.74,15.2
61345,20369,United States,horizon,28,56,Oa3,Muck,2004,San Juan Islands,"Loamy, mixed, euic, mesic Terric Haplosaprist",48.601095,-122.989925,53055,244,7395,United States,San Juan,US,WA055,48.5607796,-123.0609741,21.98085,21.98,1.61293,6.245,5.6
62166,20643,United States,horizon,10,30,A1,Ashy Fine sandy loam,2004,Winema National Forest  -   Klamath Co.,"Ashy, glassy Aquic Vitricryand",42.80498,-121.584835,41035,244,6530,United States,Klamath,US,OR035,42.84604213,-121.9161199,7.07277,7.07,0.28789,5.97,59.7
62185,20663,United States,horizon,0,20,Ap,Loam,2004,Codington & Moody Co.,"Fine-loamy, mixed, superactive, frigid Calcic Hapludoll",44.977635,-97.18837,46029,244,6774,United States,Codington,US,SD029,44.9816666,-97.1436081,2.58143,2.58,0.23949,6.19,28.7
62192,20676,United States,horizon,0,20,A,Loam,2004,Codington & Moody Co.,"Fine-loamy, mixed, superactive, frigid Pachic Hapludoll",44.02219,-96.67105,46101,244,6810,United States,Moody,US,SD101,44.1686096,-96.4552765,2.15702,2.16,0.19637,6.93,38.2
62196,20683,United States,horizon,79,119,2Bk1,Loam,2004,Codington & Moody Co.,"Fine-loamy, mixed, superactive, frigid Pachic Hapludoll",44.02219,-96.67105,46101,244,6810,United States,Moody,US,SD101,44.1686096,-96.4552765,3.22978,0.0704,0.01318,8.06,30.3
62917,21327,United States,horizon,137,160,Bk2,Clay,2004,Grant Co.,"Fine, smectitic, mesic Vitrandic Palexeroll",44.477795,-118.94777,41023,244,6524,United States,Grant,US,OR023,44.9281387,-119.4940796,0.21388,0.2076,0.02097,7.2,45.9
63995,21968,United States,horizon,0,19,Ap,Loam,2004,"Kittson, Richland, Stark Counties     MO-7","Coarse-loamy, mixed, active, frigid Typic Calciaquoll",48.77194,-96.81292,27069,244,5648,United States,Kittson,US,MN069,48.5659714,-96.4087524,2.84595,2.3208,0.26202,7.84,55.1
63997,21970,United States,horizon,39,70,Bk2,Loam,2004,"Kittson, Richland, Stark Counties     MO-7","Coarse-loamy, mixed, active, frigid Typic Calciaquoll",48.77194,-96.81292,27069,244,5648,United States,Kittson,US,MN069,48.5659714,-96.4087524,4.58019,0.1616,0.04161,8.42,43.3
64001,21974,United States,horizon,0,26,Ap,Sandy loam,2004,"Kittson, Richland, Stark Counties     MO-7","Sandy-skeletal over loamy, mixed, superactive, calcareous, frigid Typic Endoaquoll",48.77194,-96.81292,27069,244,5648,United States,Kittson,US,MN069,48.5810013,-96.4096146,2.11409,1.6276,0.21274,7.81,73.6
64012,21985,United States,horizon,0,16,A,Loam,2004,"Kittson, Richland, Stark Counties     MO-7","Coarse-loamy, mixed, superactive, frigid Aquic Argiudoll",48.77194,-96.81292,27069,244,5648,United States,Kittson,US,MN069,48.93271778,-96.49351799,7.53822,7.2952,0.63472,7.36,44.9
64013,21986,United States,horizon,16,26,Bt,Loam,2004,"Kittson, Richland, Stark Counties     MO-7","Coarse-loamy, mixed, superactive, frigid Aquic Argiudoll",48.77194,-96.81292,27069,244,5648,United States,Kittson,US,MN069,48.93271778,-96.49351799,2.89584,1.6016,0.13893,8.07,58.9
64019,21993,United States,horizon,0,17,Ap1,Very fine sandy loam,2004,"Kittson, Richland, Stark Counties     MO-7","Coarse-loamy, mixed, superactive, frigid Typic Endoaquoll",46.28329,-96.917615,38077,244,6097,United States,Richland,US,ND077,46.2395287,-97.1248093,1.92388,1.9056,0.1844,6.31,57.5
64028,22002,United States,horizon,0,30,Ap,Clay,2004,"Kittson, Richland, Stark Counties     MO-7","Fine, smectitic, frigid Typic Epiaquert",46.28329,-96.917615,38077,244,6097,United States,Richland,US,ND077,46.0221405,-96.701416,2.91426,2.808,0.27785,7.76,14.3
64031,22005,United States,horizon,84,107,2Bk2,Clay loam,2004,"Kittson, Richland, Stark Counties     MO-7","Fine, smectitic, frigid Typic Epiaquert",46.28329,-96.917615,38077,244,6097,United States,Richland,US,ND077,46.0221405,-96.701416,3.5998,0.354,0.06959,7.81,15.2
64035,22010,United States,horizon,0,15,Ap,Clay loam,2004,"Kittson, Richland, Stark Counties     MO-7","Fine-loamy over fragmental, mixed, superactive, frigid Duric Haplustoll",46.820185,-102.663915,38089,244,6103,United States,Stark,US,ND089,46.7751122,-102.8796921,1.56048,1.5348,0.15816,4.91,27.6
64036,22011,United States,horizon,15,21,Bw1,Clay loam,2004,"Kittson, Richland, Stark Counties     MO-7","Fine-loamy over fragmental, mixed, superactive, frigid Duric Haplustoll",46.820185,-102.663915,38089,244,6103,United States,Stark,US,ND089,46.7751122,-102.8796921,0.96104,0.96,0.1039,6.48,21.9
64042,22017,United States,horizon,0,14,Ap,Silty clay,2004,"Kittson, Richland, Stark Counties     MO-7","Fine, mixed, superactive, frigid Typic Calciustoll",46.820185,-102.663915,38089,244,6103,United States,Stark,US,ND089,46.7400551,-102.9820251,1.68133,1.4784,0.20533,7.87,27.6
64043,22018,United States,horizon,14,26,Bw1,Silty clay,2004,"Kittson, Richland, Stark Counties     MO-7","Fine, mixed, superactive, frigid Typic Calciustoll",46.820185,-102.663915,38089,244,6103,United States,Stark,US,ND089,46.7400551,-102.9820251,1.60509,0.9608,0.1297,8.14,24.2
64051,22026,United States,horizon,0,8,Ap,Silty clay loam,2004,"Kittson, Richland, Stark Counties     MO-7","Fine, smectitic, frigid Calcic Haplustalf",46.820185,-102.663915,38089,244,6103,United States,Stark,US,ND089,46.7418327,-102.94664,2.10902,1.9132,0.22307,8.04,10.9
64053,22028,United States,horizon,15,27,Btk1,Silty clay,2004,"Kittson, Richland, Stark Counties     MO-7","Fine, smectitic, frigid Calcic Haplustalf",46.820185,-102.663915,38089,244,6103,United States,Stark,US,ND089,46.7418327,-102.94664,2.10144,0.606,0.09188,8.85,17.9
66561,23623,United States,horizon,1,18,Bky,Gypsiferous Fine sandy loam,2004,IUSS Tour,"Loamy, gypsic, hyperthermic, shallow Typic Petrogypsid",35.927905,-114.972065,32003,244,6270,United States,Clark,US,NV003,36.3862762,-114.4287491,0.54771,0.118,0.05783,7.82,64.7
66566,23628,United States,horizon,0,6,A,Very gravelly Fine sandy loam,2004,IUSS Tour,"Loamy-skeletal, carbonatic, thermic Argic Petrocalcid",35.927905,-114.972065,32003,244,6270,United States,Clark,US,NV003,36.7424736,-114.2903366,1.33562,0.14,0.02954,8.6,55.7
66567,23629,United States,horizon,6,18,Btk1,Very gravelly Fine sandy loam,2004,IUSS Tour,"Loamy-skeletal, carbonatic, thermic Argic Petrocalcid",35.927905,-114.972065,32003,244,6270,United States,Clark,US,NV003,36.7424736,-114.2903366,1.06327,0.052,0.04903,8.02,58.6
66568,23630,United States,horizon,18,26,Btk2,Very gravelly Sandy clay loam,2004,IUSS Tour,"Loamy-skeletal, carbonatic, thermic Argic Petrocalcid",35.927905,-114.972065,32003,244,6270,United States,Clark,US,NV003,36.7424736,-114.2903366,1.51553,0.0548,0.03676,8.03,58.1
66571,23633,United States,horizon,0,5,Az1,Loam,2004,IUSS Tour,"Fine-silty over sandy or sandy-skeletal, mixed, superactive, thermic Typic Haplosalid",35.927905,-114.972065,32003,244,6270,United States,Clark,US,NV003,36.6811104,-114.2847214,1.52644,0.3864,0.09124,8.61,26.3
